,epoch,client_0_loss,client_0_acc,client_1_loss,client_1_acc,client_2_loss,client_2_acc,client_3_loss,client_3_acc,client_4_loss,client_4_acc,client_5_loss,client_5_acc,client_6_loss,client_6_acc,client_7_loss,client_7_acc,client_8_loss,client_8_acc,client_9_loss,client_9_acc
0,0,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
1,1,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
2,2,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
3,3,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
4,4,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
5,5,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
6,6,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
7,7,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
8,8,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
9,9,0.3618843426992153,0.9409123563218391,0.3726313669106056,0.9378591954022989,0.3529940280078471,0.9464798850574713,0.3689333312641615,0.9398347701149425,0.3638388790275859,0.9414511494252874,0.3724359003291733,0.9391163793103449,0.35583737586764086,0.9480962643678161,0.3626398992264408,0.9418103448275862,0.37331931335830143,0.9360632183908046,0.36410065209385994,0.9376795977011494
