,epoch,client_0_loss,client_0_acc,client_1_loss,client_1_acc,client_2_loss,client_2_acc,client_3_loss,client_3_acc,client_4_loss,client_4_acc,client_5_loss,client_5_acc,client_6_loss,client_6_acc,client_7_loss,client_7_acc,client_8_loss,client_8_acc,client_9_loss,client_9_acc,meta_loss,meta_acc
0,0,2.552208837421461,0.08494971264367816,2.561861145085302,0.08423132183908046,2.5551800371586593,0.08423132183908046,2.5587038774599975,0.08800287356321838,2.5728273802790147,0.08225574712643678,2.55895532958809,0.08638649425287356,2.558575290373002,0.08333333333333333,2.5640225232332603,0.08387212643678162,2.542694213746608,0.09985632183908046,,,2.534663677215576,0.09471428714692592
1,1,2.41167413366252,0.10380747126436782,2.4217893063336953,0.09985632183908046,,,,,2.431386278963637,0.10021551724137931,2.420647725291636,0.10111350574712644,2.4166087583563796,0.09841954022988506,2.4198249324984933,0.09967672413793104,2.404907135442756,0.11763649425287356,2.422470484656849,0.10165229885057471,2.380340576171875,0.10985714457929134
2,2,,,2.294359140697567,0.1355962643678161,2.285988641881395,0.14080459770114942,,,2.3033975856057527,0.1343390804597701,,,,,,,2.280305597973966,0.1512212643678161,,,2.2434632778167725,0.13928571676569326
3,3,,,,,2.1750043589493324,0.20043103448275862,,,,,,,,,2.1776950886879844,0.2038433908045977,,,2.188041710305488,0.20276580459770116,2.118549108505249,0.20271429071468966
4,4,2.079958521771705,0.24694683908045978,2.0900426849551583,0.24586925287356323,2.0807458292478804,0.24551005747126436,2.090487082114165,0.2372485632183908,2.0985900149948296,0.23958333333333334,2.0937922651740326,0.23958333333333334,2.085656795008429,0.2437140804597701,,,2.0806669853199486,0.25341235632183906,2.094619632452384,0.24586925287356323,2.017681121826172,0.24971429317125252
5,5,1.998260746057006,0.2764008620689655,2.008338569224566,0.27729885057471265,,,2.0093356528501403,0.27011494252873564,2.0165703913261153,0.2697557471264368,2.012451460306672,0.2733477011494253,2.0037443562485704,0.2764008620689655,2.000444564326056,0.2792744252873563,2.0004724490231482,0.2826867816091954,2.0128181138257872,0.27801724137931033,1.9247483015060425,0.2830000088257449
6,6,,,,,,,1.9357808629671733,0.3004669540229885,,,1.9387821938799716,0.3004669540229885,,,,,,,,,1.8519067764282227,0.30857143735247
7,7,1.8553093877331963,0.3432112068965517,1.8663522388743259,0.3390804597701149,1.8565879073636284,0.335308908045977,1.867759499056586,0.33261494252873564,1.87392256246216,0.3295617816091954,1.8707187545710597,0.33405172413793105,,,1.8569086701020427,0.3442887931034483,,,,,1.774492859840393,0.349285722513284
8,8,1.790322842954219,0.3800287356321839,1.8021951153360565,0.37374281609195403,,,1.8038717487762714,0.36548132183908044,1.8098448124425164,0.36745689655172414,1.8070595689203548,0.37320402298850575,1.7968015766691887,0.3796695402298851,1.7924602408518737,0.3899066091954023,1.7970793329436203,0.37895114942528735,1.8042946067349663,0.3733836206896552,1.7021632194519043,0.4080000068673066
9,9,1.7291153189779698,0.4170258620689655,1.7416776685879147,0.414691091954023,1.7323815651323604,0.4225933908045977,1.7433941282075027,0.40391522988505746,1.7494960900010734,0.40589080459770116,1.7471055737857162,0.414691091954023,1.736490576431669,0.41900143678160917,,,1.7374691099956119,0.41576867816091956,,,1.6385003328323364,0.46285715017999923
10,10,1.671987966559399,0.46012931034482757,,,,,1.686339235853875,0.4489942528735632,1.6928120502110184,0.44612068965517243,1.6905950739465911,0.45348419540229884,1.6799514588268323,0.45689655172413796,1.6752001382838722,0.475933908045977,,,1.6869282427875476,0.4579741379310345,1.5805513858795166,0.5212857208613838
11,11,1.6184957856419442,0.5005387931034483,1.6313771338298404,0.4985632183908046,1.622620677125865,0.501257183908046,,,,,,,,,,,1.629129556403763,0.4956896551724138,1.6339443942596172,0.4964080459770115,1.5208923816680908,0.5842857208635126
12,12,1.5681977744760185,0.5454382183908046,1.5811736994776233,0.5418462643678161,1.5725228060250995,0.5431034482758621,1.5826348347225407,0.5301724137931034,,,1.58775766622061,0.5276580459770115,1.5772066897359387,0.539691091954023,1.572045395429107,0.545617816091954,1.5797090653715462,0.5350215517241379,1.584124963859032,0.5393318965517241,1.4581884145736694,0.6390000049131257
13,13,,,,,,,,,,,,,,,,,1.5330897131185421,0.5732758620689655,,,1.420514702796936,0.6781428604466575
14,14,,,1.4889769602095944,0.6160201149425287,1.4802971824832347,0.6118893678160919,,,1.4959853798493572,0.6003951149425287,1.4963955886062534,0.6000359195402298,1.485329919162838,0.6073994252873564,1.4800747119147202,0.6149425287356322,1.4886890923839875,0.6100933908045977,,,1.3618866205215454,0.7280000009707042
15,15,,,1.446102476668084,0.6463721264367817,,,,,1.45261687862462,0.6386494252873564,,,1.4422049056524517,0.639367816091954,,,1.4460432460938377,0.6366738505747126,,,1.322013258934021,0.7592857132639204
16,16,,,,,1.3953500670948247,0.6698994252873564,,,1.4108444143985879,0.6724137931034483,1.4121306470070762,0.6636135057471264,1.4006655291579235,0.6702586206896551,,,1.4049885704599578,0.6664870689655172,,,1.2689948081970215,0.7982857111096382
